email,subject,body,email_class
student1@university.edu,Request for Syllabus for 'Data Structures',"Dear Professor, I am interested in taking the 'Data Structures' course next semester. Could you please share the syllabus with me? I would like to know the topics that will be covered and the required textbooks. Thank you for your time. Best regards, Student 1",Student Inquiry
student2@university.edu,Syllabus for 'Computer Networks' Course,"Hi Professor, I hope this email finds you well. I am planning to take the 'Computer Networks' course in the upcoming semester. Could you please provide me with the syllabus? I would appreciate it if you could include the course objectives, topics, and assessment details. Thank you. Best regards, Student 2",Student Inquiry
student3@university.edu,Request for 'Machine Learning' Syllabus,"Dear Professor, I am writing to request the syllabus for the 'Machine Learning' course. I am interested in learning more about the topics that will be covered and the skills that I will gain from the course. Could you please share the syllabus with me? Thank you. Best regards, Student 3",Student Inquiry
student4@university.edu,Syllabus for 'Algorithms' Course,"Hi Professor, I hope you are doing well. I am interested in taking the 'Algorithms' course next semester. Could you please provide me with the syllabus? I would like to know the topics that will be covered and the required textbooks. Thank you. Best regards, Student 4",Student Inquiry
student5@university.edu,Request for 'Database Systems' Syllabus,"Dear Professor, I am writing to request the syllabus for the 'Database Systems' course. I am interested in learning more about the topics that will be covered and the skills that I will gain from the course. Could you please share the syllabus with me? Thank you. Best regards, Student 5",Student Inquiry
student6@university.edu,Syllabus for 'Artificial Intelligence' Course,"Hi Professor, I hope you are doing well. I am interested in taking the 'Artificial Intelligence' course next semester. Could you please provide me with the syllabus? I would appreciate it if you could include the course objectives, topics, and assessment details. Thank you. Best regards, Student 6",Student Inquiry
student7@university.edu,Request for 'Computer Vision' Syllabus,"Dear Professor, I am writing to request the syllabus for the 'Computer Vision' course. I am interested in learning more about the topics that will be covered and the skills that I will gain from the course. Could you please share the syllabus with me? Thank you. Best regards, Student 7",Student Inquiry
student8@university.edu,Syllabus for 'Natural Language Processing' Course,"Hi Professor, I hope you are doing well. I am interested in taking the 'Natural Language Processing' course next semester. Could you please provide me with the syllabus? I would like to know the topics that will be covered and the required textbooks. Thank you. Best regards, Student 8",Student Inquiry
student9@university.edu,Request for 'Human-Computer Interaction' Syllabus,"Dear Professor, I am writing to request the syllabus for the 'Human-Computer Interaction' course. I am interested in learning more about the topics that will be covered and the skills that I will gain from the course. Could you please share the syllabus with me? Thank you. Best regards, Student 9",Student Inquiry
student10@university.edu,Syllabus for 'Software Engineering' Course,"Hi Professor, I hope you are doing well. I am interested in taking the 'Software Engineering' course next semester. Could you please provide me with the syllabus? I would appreciate it if you could include the course objectives, topics, and assessment details. Thank you. Best regards, Student 10",Student Inquiry
student11@university.edu,Request for 'Data Mining' Syllabus,"Dear Professor, I am writing to request the syllabus for the 'Data Mining' course. I am interested in learning more about the topics that will be covered and the skills that I will gain from the course. Could you please share the syllabus with me? Thank you. Best regards, Student 11",Student Inquiry
student12@university.edu,Syllabus for 'Computer Graphics' Course,"Hi Professor, I hope you are doing well. I am interested in taking the 'Computer Graphics' course next semester. Could you please provide me with the syllabus? I would like to know the topics that will be covered and the required textbooks. Thank you. Best regards, Student 12",Student Inquiry
student13@university.edu,Request for 'Cybersecurity' Syllabus,"Dear Professor, I am writing to request the syllabus for the 'Cybersecurity' course. I am interested in learning more about the topics that will be covered and the skills that I will gain from the course. Could you please share the syllabus with me? Thank you. Best regards, Student 13",Student Inquiry
